False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True
0.0,-0.005,0.451,0.485,0.479,0.473,-0.005,0.457,-0.01,0.465,0.45,0.49,0.484,-0.01,-0.005,0.48,0.472,0.481,-0.01,-0.01,-0.01,-0.005,-0.01,0.485,0.464,0.466,0.481,0.0,0.468,0.471,-0.005,0.47,0.481,0.474,-0.005,-0.005,0.0,0.472,0.0,0.479,0.475,0.483,0.457,-0.005,0.466,0.49,-0.005,0.49,0.472,0.485,-0.01,-0.005,-0.01,0.459,-0.005,0.481,0.0,0.487,0.473,-0.005,0.489,0.474,0.464,0.479,0.474,-0.005,0.484,0.461,0.459,-0.01,-0.01,0.484,0.466,0.478,0.479,0.479,0.475,0.466,-0.01,-0.01,0.48,0.476,-0.005,0.49,0.0,0.479,0.482,0.47,-0.005,-0.005,-0.005,0.485,0.454,0.475,0.475,0.0,0.472,0.472,0.0,-0.005
2,42,34,26,28,18,15,35,4,28,33,15,16,2,17,28,14,30,2,2,2,48,6,18,19,29,32,30,26,18,18,19,21,21,25,22,36,14,40,12,49,23,36,35,19,18,17,24,13,22,8,35,9,35,38,31,17,12,24,24,13,18,16,12,22,33,18,25,28,2,2,27,26,18,23,25,23,33,2,2,7,19,31,28,20,16,11,27,38,28,34,29,36,27,51,32,30,10,7,49
